,City,State
58,BUTTE,MONTANA
59,CAMBRIDGE,MASSACHUSETTS
60,CAMDEN,DELAWARE
61,CAMERON,SOUTH CAROLINA
62,CANYON,TEXAS
63,CAPE GIRARDEAU,MISSOURI
64,CASPER,WYOMING
65,CEDAR CITY,UTAH
66,CEDAR RAPIDS/IOWA CITY,IOWA
67,CHAMPAIGN/URBANA,ILLINOIS
68,CHARLESTON,SOUTH CAROLINA
69,CHARLESTON/DUNBAR,WEST VIRGINIA
70,CHARLOTTE,NORTH CAROLINA
71,CHARLOTTE AMALIE,U.S. VIRGIN ISLANDS
72,CHARLOTTESVILLE,VIRGINIA
73,CHATTANOOGA,TENNESSEE
74,CHEYENNE,WYOMING
75,CHICAGO,ILLINOIS
76,CHRISTIANSTED,U.S. VIRGIN ISLANDS
77,CINCINNATI,KENTUCKY
78,CLARKSBURG/FAIRMONT,WEST VIRGINIA
79,CLAYTON,INDIANA
80,CLEVELAND,OHIO
81,CLEVELAND,MISSISSIPPI
82,CODY,WYOMING
83,COLD BAY,ALASKA
84,COLLEGE STATION/BRYAN,TEXAS
85,COLORADO SPRINGS,COLORADO
86,COLUMBIA,MISSOURI
87,COLUMBIA,SOUTH CAROLINA
88,COLUMBUS,OHIO
89,COLUMBUS,MISSISSIPPI
90,COLUMBUS,GEORGIA
91,CONCORD,NORTH CAROLINA
92,CORDOVA,ALASKA
93,CORPUS CHRISTI,TEXAS
94,COTTONWOOD,IDAHO
95,COVINGTON,LOUISIANA
96,DALLAS,TEXAS
97,DALLAS/FORT WORTH,TEXAS
98,DAYTON,OHIO
99,DAYTONA BEACH,FLORIDA
100,DEADHORSE,ALASKA
101,DECATUR,ILLINOIS
102,DEL RIO,TEXAS
103,DENVER,COLORADO
104,DES MOINES,IOWA
105,DETROIT,MICHIGAN
106,DEVILS LAKE,NORTH DAKOTA
107,DICKINSON,NORTH DAKOTA
108,DILLINGHAM,ALASKA
109,DODGE CITY,KANSAS
110,DOTHAN,ALABAMA
111,DUBUQUE,IOWA
112,DULUTH,MINNESOTA
113,DUNCAN,OKLAHOMA
114,DURANGO,COLORADO
115,EAGLE,COLORADO
116,EAU CLAIRE,WISCONSIN
117,EL PASO,TEXAS
118,EL PRADO,NEW MEXICO
119,ELKO,NEVADA
120,ELMIRA/CORNING,NEW YORK
121,ERIE,PENNSYLVANIA
122,ESCANABA,MICHIGAN
123,EUGENE,OREGON
124,EVANSVILLE,INDIANA
125,EVERETT,WASHINGTON
126,FAIRBANKS,ALASKA
127,FARGO,NORTH DAKOTA
128,FAYETTEVILLE,NORTH CAROLINA
129,FAYETTEVILLE,ARKANSAS
130,FLAGSTAFF,ARIZONA
131,FLINT,MICHIGAN
132,FORT LAUDERDALE,FLORIDA
133,FORT MYERS,FLORIDA
134,FORT SMITH,ARKANSAS
135,FORT WAYNE,INDIANA
136,FORT WORTH,TEXAS
137,FORTH WORTH,TEXAS
138,FRESNO,CALIFORNIA
139,FT. WORTH,TEXAS
140,GAINESVILLE,FLORIDA
141,GARDEN CITY,KANSAS
142,GILLETTE,WYOMING
143,GRAND FORKS,NORTH DAKOTA
144,GRAND ISLAND,NEBRASKA
145,GRAND JUNCTION,COLORADO
146,GRAND RAPIDS,MICHIGAN
147,GREAT FALLS,MONTANA
148,GREEN BAY,WISCONSIN
149,GREENBELT,MARYLAND
150,GREENSBORO/HIGH POINT,NORTH CAROLINA
151,GREENVILLE,DELAWARE
152,GREENVILLE,NORTH CAROLINA
153,GREER,SOUTH CAROLINA
154,GUAM,U.S. PACIFIC TRUST TERRITORIES AND POSSESSIONS
155,GULFPORT/BILOXI,MISSISSIPPI
156,GUNNISON,COLORADO
157,GUSTAVUS,ALASKA
158,HAGERSTOWN,MARYLAND
159,HANCOCK/HOUGHTON,MICHIGAN
160,HARLINGEN/SAN BENITO,TEXAS
161,HARRISBURG,PENNSYLVANIA
162,HARTFORD,CONNECTICUT
163,HASKELL,OKLAHOMA
164,HATTIESBURG/LAUREL,MISSISSIPPI
165,HAYDEN,COLORADO
166,HAYS,KANSAS
167,HELENA,MONTANA
168,HIBBING,MINNESOTA
169,HILO,HAWAII
170,HILTON HEAD,SOUTH CAROLINA
171,HOBBS,NEW MEXICO
172,HONOLULU,HAWAII
173,HORSESHOE BAY,TEXAS
174,HOUSTON,TEXAS
175,HUNTSVILLE,ALABAMA
176,HYANNIS,MASSACHUSETTS
177,IDAHO FALLS,IDAHO
178,INDANAPOLIS,INDIANA
179,INDIANAPOLIS,INDIANA
180,INTERNATIONAL FALLS,MINNESOTA
181,IRON MOUNTAIN/KINGSFD,MICHIGAN
182,IRVING,TEXAS
183,ISLIP,NEW YORK
184,ITHACA/CORTLAND,NEW YORK
185,JACKSON,WYOMING
186,JACKSON/VICKSBURG,MISSISSIPPI
187,JACKSONVILLE,FLORIDA
188,JACKSONVILLE/CAMP LEJEUNE,NORTH CAROLINA
189,JAMESTOWN,NORTH DAKOTA
190,JOPLIN,MISSOURI
191,JUNEAU,ALASKA
192,KAHULUI,HAWAII
193,KALAMAZOO,MICHIGAN
194,KALISPELL,MONTANA
195,KANSAS CITY,MISSOURI
196,KEARNEY,NEBRASKA
197,KENNETT,MISSOURI
198,KETCHIKAN,ALASKA
199,KEY WEST,FLORIDA
200,KILLEEN,TEXAS
201,KIMBERLY,IDAHO
202,KING SALMON,ALASKA
203,KNOXVILLE,TENNESSEE
204,KODIAK,ALASKA
205,KONA,HAWAII
206,KOTZEBUE,ALASKA
207,LA CROSSE,WISCONSIN
208,LAFAYETTE,LOUISIANA
209,LAGRANGE,INDIANA
210,LAKE CHARLES,LOUISIANA
211,LANSING,MICHIGAN
212,LARAMIE,WYOMING
213,LAREDO,TEXAS
214,LAS,NEVADA
215,LAS VEGAS,NEVADA
216,LATROBE,PENNSYLVANIA
217,LAWTON/FORT SILL,OKLAHOMA
218,LEESBURG,VIRGINIA
219,LEWISBURG,WEST VIRGINIA
220,LEWISTON,IDAHO
221,LEXINGTON,KENTUCKY
222,LIBERAL,KANSAS
223,LIHUE,HAWAII
224,LINCOLN,NEBRASKA
225,LITTLE ROCK,ARKANSAS
226,LONG BEACH,CALIFORNIA
227,LONG ISLAND,NEW YORK
228,LONG ISLAND CITY,NEW YORK
229,LONGVIEW,TEXAS
230,LOS ANGELES,CALIFORNIA
231,LOUISVILLE,KENTUCKY
232,LUBBOCK,TEXAS
233,LYNCHBURG,VIRGINIA
234,MADISON,WISCONSIN
235,MAMMOTH LAKES,CALIFORNIA
236,MANCHESTER,NEW HAMPSHIRE
237,MANHATTAN/FT. RILEY,KANSAS
238,MARQUETTE,MICHIGAN
239,MARTHA'S VINEYARD,MASSACHUSETTS
240,MEDFORD,OREGON
241,MELBOURNE,FLORIDA
242,MEMPHIS,TENNESSEE
243,MERIDIAN,MISSISSIPPI
244,MIAMI,FLORIDA
245,MIDLAND/ODESSA,TEXAS
246,MILFORD,NEBRASKA
247,MILTON,FLORIDA
248,MILWAUKEE,WISCONSIN
249,MINNEAPOLIS,MINNESOTA
250,MINOT,NORTH DAKOTA
251,MIRAMAR,FLORIDA
252,MISSION/MCALLEN/EDINBURG,TEXAS
253,MISSOULA,MONTANA
254,MOAB,UTAH
255,MOBILE,ALABAMA
256,MOLINE,ILLINOIS
257,MONROE,LOUISIANA
258,MONTEREY,CALIFORNIA
259,MONTGOMERY,ALABAMA
260,MONTROSE/DELTA,COLORADO
261,MOSINEE,WISCONSIN
262,MOUNT SHASTA,CALIFORNIA
263,MOUNT VERNON,WASHINGTON
264,MUSKEGON,MICHIGAN
265,MYRTLE BEACH,SOUTH CAROLINA
266,NANTUCKET,MASSACHUSETTS
267,NAPOLEON,NORTH DAKOTA
268,NASHVILLE,TENNESSEE
269,NEW BERN/MOREHEAD/BEAUFORT,NORTH CAROLINA
270,NEW HAVEN,CONNECTICUT
271,NEW ORLEANS,LOUISIANA
272,NEW YORK,NEW YORK
273,NEWARK,NEW JERSEY
274,NEWARK,DELAWARE
275,NEWBURGH/POUGHKEEPSIE,NEW YORK
276,NEWPORT,ARKANSAS
277,NEWPORT NEWS/WILLIAMSBURG,VIRGINIA
278,NIAGARA FALLS,NEW YORK
279,NOME,ALASKA
280,NORFOLK,
281,NORFOLK,VIRGINIA
282,NORTH BEND/COOS BAY,OREGON
283,NORTH KINGSTOWN,RHODE ISLAND
284,NORTH PLATTE,NEBRASKA
285,NORTH SALT LAKE,UTAH
286,NORWALK,CONNECTICUT
287,OAKLAND,CALIFORNIA
288,OGDEN,UTAH
289,OGDENSBURG,NEW YORK
290,OKLAHOMA CITY,OKLAHOMA
291,OLD CHATHAM,NEW YORK
292,OMAHA,NEBRASKA
293,ONTARIO,CALIFORNIA
294,ORLANDO,FLORIDA
295,OWENSBORO,KENTUCKY
296,PADUCAH,KENTUCKY
297,PAGO PAGO,U.S. PACIFIC TRUST TERRITORIES AND POSSESSIONS
298,PALM SPRINGS,CALIFORNIA
299,PANAMA CITY,FLORIDA
300,PASCO/KENNEWICK/RICHLAND,WASHINGTON
301,PELLSTON,MICHIGAN
302,PENSACOLA,FLORIDA
303,PEORIA,ILLINOIS
304,PETERSBURG,ALASKA
305,PHILADELPHIA,PENNSYLVANIA
306,PHOENIX,ARIZONA
307,PIERRE,SOUTH DAKOTA
308,PINE BLUFF,ARKANSAS
309,PITTSBURGH,PENNSYLVANIA
310,PLATTSBURGH,NEW YORK
311,POCATELLO,IDAHO
312,PONCE,PUERTO RICO
313,PORT EWEN,NEW YORK
314,PORTLAND,MAINE
315,PORTLAND,OREGON
316,PORTSMOUTH,NEW HAMPSHIRE
317,PRESCOTT,ARIZONA
318,PROVIDENCE,RHODE ISLAND
319,PROVO,UTAH
320,PUEBLO,COLORADO
321,PUNTA GORDA,FLORIDA
322,QUINCY,ILLINOIS
323,RALEIGH/DURHAM,NORTH CAROLINA
324,RAPID CITY,SOUTH DAKOTA
325,REDDING,CALIFORNIA
326,RENO,NEVADA
327,RHINELANDER,WISCONSIN
328,RICHMOND,VIRGINIA
329,RIVERTON/LANDER,WYOMING
330,ROANOKE,VIRGINIA
331,ROCHESTER,NEW YORK
332,ROCHESTER,MINNESOTA
333,ROCK SPRINGS,WYOMING
334,ROCKAWAY,NEW JERSEY
335,ROCKFORD,ILLINOIS
336,ROMEOVILLE,ILLINOIS
337,ROSWELL,NEW MEXICO
338,SACRAMENTO,CALIFORNIA
339,SAGINAW/BAY CITY/MIDLAND,MICHIGAN
340,SAINT GEORGE,UTAH
341,SAIPAN,U.S. PACIFIC TRUST TERRITORIES AND POSSESSIONS
342,SALINA,KANSAS
343,SALT LAKE CITY,UTAH
344,SAN ANGELO,TEXAS
345,SAN ANTONIO,TEXAS
346,SAN DIEGO,CALIFORNIA
347,SAN FRANCISCO,CALIFORNIA
348,SAN JOSE,CALIFORNIA
349,SAN JUAN,PUERTO RICO
350,SAN LUIS OBISPO,CALIFORNIA
351,SANFORD,FLORIDA
352,SANTA ANA,CALIFORNIA
353,SANTA BARBARA,CALIFORNIA
354,SANTA FE,NEW MEXICO
355,SANTA MARIA,CALIFORNIA
356,SANTA ROSA,CALIFORNIA
357,SARASOTA/BRADENTON,FLORIDA
358,SAULT STE. MARIE,MICHIGAN
359,SAVANNAH,GEORGIA
360,SCOTTSBLUFF,NEBRASKA
361,SCOTTSDALE,ARIZONA
362,SCRANTON/WILKES-BARRE,PENNSYLVANIA
363,SEATAC,WASHINGTON
364,SEATTLE,WASHINGTON
365,SHERIDAN,WYOMING
366,SHREVEPORT,LOUISIANA
367,SIOUX CITY,IOWA
368,SIOUX FALLS,SOUTH DAKOTA
369,SITKA,ALASKA
370,SOUTH BEND,INDIANA
371,SPOKANE,WASHINGTON
372,SPRINGFIELD,MISSOURI
373,SPRINGFIELD,ILLINOIS
374,SPRINGFIELD,OHIO
375,ST GEORGE,UTAH
376,ST. CLOUD,MINNESOTA
377,ST. GEORGE,UTAH
378,ST. LOUIS,MISSOURI
379,ST. PETERSBURG,FLORIDA
380,STATE COLLEGE,PENNSYLVANIA
381,STAUNTON,VIRGINIA
382,STILLWATER,OKLAHOMA
383,STOCKTON,CALIFORNIA
384,SUN VALLEY/HAILEY/KETCHUM,IDAHO
385,SYKESVILLE,MARYLAND
386,SYRACUSE,NEW YORK
387,TALLAHASSEE,FLORIDA
388,TAMPA,FLORIDA
389,TEXARKANA,ARKANSAS
390,THOUSAND OAKS,CALIFORNIA
391,TOLEDO,OHIO
392,TRAVERSE CITY,MICHIGAN
393,TRENTON,NEW JERSEY
394,TUCSON,ARIZONA
395,TULSA,OKLAHOMA
396,TWIN FALLS,IDAHO
397,TYLER,TEXAS
398,VALDOSTA,GEORGIA
399,VALPARAISO,FLORIDA
400,VANDALIA,OHIO
401,VERNAL,UTAH
402,WACO,TEXAS
403,WASHINGTON,VIRGINIA
404,WATERLOO,IOWA
405,WATERTOWN,SOUTH DAKOTA
406,WATERTOWN,NEW YORK
407,WAUPUN,WISCONSIN
408,WEST PALM BEACH/PALM BEACH,FLORIDA
409,WEST YELLOWSTONE,MONTANA
410,WHITE PLAINS,NEW YORK
411,WICHITA,KANSAS
412,WICHITA FALLS,TEXAS
413,WILLISTON,NORTH DAKOTA
414,WILMINGTON,DELAWARE
415,WILMINGTON,NORTH CAROLINA
416,WILMINGTON,OHIO
417,WORCESTER,MASSACHUSETTS
418,WRANGELL,ALASKA
419,YAKUTAT,ALASKA
420,YUMA,ARIZONA
